Product Name,Price,Size,Description,category,Stock,img link,Category
Nike FC Barcelona 2024/25 Men's Stadium Home Jersey,1200,M/L/XL/XXL,Nike FC Barcelona 2024/25 Men's Stadium Home Jersey,Jersey,50,https://i.ibb.co.com/Kwg0xYr/braca-home.jpg,Soccer
Nike FC Barcelona 2024/25 Men's Stadium Away Jersey,1200,M/L/XL/XXL,Nike FC Barcelona 2024/25 Men's Stadium Away Jersey,Jersey,50,https://i.ibb.co.com/Rj1P6nm/barca-away.jpg,Soccer
adidas Real Madrid 2024/25 Men's Authentic Home Jersey,1200,M/L/XL/XXL,adidas Real Madrid 2024/25 Men's Authentic Home Jersey,Jersey,40,https://i.ibb.co.com/JKH0dTZ/real-home.jpg,Soccer
adidas Real Madrid 2024/25 Men's Authentic Away Jersey,1200,M/L/XL/XXL,adidas Real Madrid 2024/25 Men's Authentic Away Jersey,Jersey,45,https://i.ibb.co.com/BZQDz2V/real-away.jpg,Soccer
Nike Mercurial Vapor 1 RGN SE FG Soccer Cleats | Mercurial Origin,3200,39/40/41/42/43/44/45,Nike Mercurial Vapor 1 RGN SE FG Soccer Cleats | Mercurial Origin,Footwear,30,https://i.ibb.co.com/BcFDWZ1/nike-1.jpg,Soccer
adidas Copa Icon II FG/AG Soccer Cleats,3300,39/40/41/42/43/44/45,"Honor a legend in the adidas Copa Icon II Firm Ground/Artificial Ground Soccer Cleats, a rebooted design on an icon. Made to combine the past and the present to take your game to new levels.",Footwear,30,https://i.ibb.co.com/tY9TGvC/adidas-3.jpg,Soccer
PUMA Portugal 2025 Youth Home Shorts,300,M/L/XL/XXL,PUMA Portugal 2025 Youth Home Shorts,Shorts,50,https://i.ibb.co.com/1MWMppZ/779229-10-g01.jpg,Soccer
PUMA Christian Pulisic Youth Training Shorts,300,M/L/XL/XXL,Show off your support for Christian Pulisic in this PUMA Christian Pulisic Youth Training Shorts that helps you bring his can?t miss style and attitude wherever you go. ,Shorts,50,https://i.ibb.co.com/HtB5JXr/658963-12-g02.jpg,Soccer
PUMA Neymar Jr BNA Men's Training Pants,800,M/L/XL/XXL,PUMA Neymar Jr BNA Men's Training Pants,Pants,35,https://i.ibb.co.com/THVYmrX/659706-10-g01.jpg,Soccer
adidas Manchester United FC Originals Men's Track Pant,850,M/L/XL/XXL,adidas Manchester United FC Originals Men's Track Pant,Pants,35,https://i.ibb.co.com/hgZYbmq/is6527-g01.jpg,Soccer
adidas Messi Club Soccer Ball,1800,5,"Elevate your game with the adidas Messi Club Soccer Ball, a colorful tribute to the perfect team inspired by the iconic adidas Messi footwear collection. ",Football,60,https://i.ibb.co.com/zFPZcmR/jm4755-g01.jpg,Soccer
adidas MLS 2025 Club Soccer Ball,2200,5,"20 years of Adidas teaming up with Major League Soccer, the adidas MLS 2025 Club Soccer Ball takes inspiration from the balls that came before and is modeled after the official match ball.",Football,50,https://i.ibb.co.com/F8SLpnw/jh1307-g01.jpg,Soccer
VIzari Saturn Goal Keeper Fingersave Gloves,1500,8/9/10/11,VIzari Saturn Goal Keeper Fingersave Gloves,Gloves,20,https://i.ibb.co.com/swBktfZ/92810-g01.jpg,Soccer
adidas Predator Match Fingersave Gloves,1600,8/9/10/11,adidas Predator Match Fingersave Gloves,Gloves,25,https://i.ibb.co.com/7XHjppX/iz1503-g01.jpg,Soccer
"Chest Expander, Exercise Resistance Trainer, Spring Workout Equipment Trainer for Gym, Home",1800,,"Chest Expander, Exercise Resistance Trainer, Spring Workout Equipment Trainer for Gym, Home",GYM,15,https://i.ibb.co.com/G5XrBkh/Chest-Expander-Exercise-Resistance-Trainer-Spring-Workout-Equipment-Trainer-for-Gym-Home-9d656ef5-82.jpg,Fitness
METIS Pro Urethane Dumbbells [2.5kg-50kg] - Pair,900,5kg,"Professional dumbbells for commercial gyms, fitness suites and studios. The urethane commercial dumbbells are available in weights ranging from 2.5kg â€“ 50kg. Pro-style dumbbells supplied in pairs or as a complete dumbbell weight set, which includes 1x pair of each weight, totalling to 20x pairs.",GYM,20,https://i.ibb.co.com/sgkVWvm/5kg-2.jpg,Fitness
Gray Nicolls Victus 1000 Cricket Bat (2025),3000,Short Handle/Long Handle,Gray Nicolls Victus 1000 Cricket Bat (2025),Bat,10,https://i.ibb.co.com/hmp8ryj/IMG-4421.jpg,Cricket
SG Cricket Leather Ball (Cricket Balls Shield 20 RED),1500,300 grams,SG Cricket Leather Ball (Cricket Balls Shield 20 RED),Cricket Ball,20,https://i.ibb.co.com/8Bfk1L2/71y-CYZv6s-L-SX569.jpg,Cricket
New Balance Badminton Racket - Black,3000,85-89 grams,"Title: New Balance Badminton Racket - Black, Brand: Non-Brand, Material: Carbon Fiber, Colour: Black, Features: Head Shape : Isometric, Balance: Head-light, Product Weight: 85-89 gm, Frame Material: Carbon Nanotube, Tension: 28",Racket,25,https://i.ibb.co.com/tCrYnx5/New-Balance-Badminton-Racket-Black-Non-Brand-7a2b0-366222.jpg,Batminton
"Badminton, Portable Stable Flight Taiwan 333 Badminton Shuttlecock for Competition for Outdoor Sports for Training",800,6 Pcs,"Made with synthetic non-feathered material, it offers durability and consistency in flight. The shuttlecock is designed to withstand high-speed impacts and is suitable for both indoor and outdoor play. Its white color makes it easy to spot during gameplay. This shuttlecock is perfect for players of all levels and is a must-have for any badminton game.",Shuttlecock,30 dozen,https://i.ibb.co.com/7ytPyjT/41qo28-QKrk-L.jpg,Batminton